Title,Released,Runtime,Genre,Awards,Metascore,imdbRating,imdbVotes,imdbID,BoxOffice,Language,budget_max,Format
The First Purge,2018-07-04,97 min,"Action, Horror, Sci-Fi",1 nomination,54.0,5.2,"65,962",tt6133466,69488745.0,"English, French, Spanish",13000000.0,others
Ant-Man and the Wasp,2018-07-06,118 min,"Action, Adventure, Comedy",2 wins & 21 nominations,70.0,7.0,"418,820",tt5095030,216648740.0,"English, Spanish, French",140000000.0,others
Sorry to Bother You,2018-07-13,112 min,"Comedy, Drama, Fantasy",19 wins & 57 nominations,80.0,6.9,"82,939",tt5688932,17493096.0,English,0.0,others
Hotel Transylvania 3: Summer Vacation,2018-07-13,97 min,"Animation, Adventure, Comedy",2 wins & 9 nominations,54.0,6.3,"77,477",tt5220122,167510016.0,"English, Spanish, German, Russian",80000000.0,others
Skyscraper,2018-07-13,102 min,"Action, Adventure, Thriller",4 nominations,51.0,5.8,"125,855",tt5758778,68420120.0,"English, Cantonese, Mandarin",125000000.0,others
Eighth Grade,2018-08-03,93 min,"Comedy, Drama",60 wins & 94 nominations,89.0,7.4,"78,267",tt7014006,13539709.0,English,2000000.0,others
"Don't Worry, He Won't Get Far on Foot",2018-04-04,114 min,"Biography, Comedy, Drama",5 nominations,67.0,6.8,"28,545",tt6288124,1441705.0,English,0.0,others
Shock and Awe,2018-07-20,90 min,"Biography, Drama, History",,47.0,6.4,"7,851",tt5540992,77980.0,English,0.0,others
Mamma Mia! Here We Go Again,2018-07-20,114 min,"Comedy, Musical, Romance",12 nominations,60.0,6.6,"99,310",tt6911608,120634935.0,"English, French, Greek",75000000.0,others
The Equalizer 2,2018-07-20,121 min,"Action, Crime, Thriller",1 win & 4 nominations,50.0,6.7,"166,149",tt3766354,102084362.0,"English, French, Turkish, Hebrew, Arabic, Spanish",62000000.0,others
Blindspotting,2018-07-27,95 min,"Comedy, Crime, Drama",5 wins & 23 nominations,77.0,7.4,"31,563",tt7242142,4333394.0,English,0.0,others
Unfriended: Dark Web,2018-07-20,92 min,"Horror, Mystery, Thriller",,53.0,6.0,"34,734",tt4761916,8866745.0,"English, American Sign , Indonesian",1000000.0,others
Mission: Impossible - Fallout,2018-07-27,147 min,"Action, Adventure, Thriller",Nominated for 1 BAFTA Award25 wins & 41 nominations total,86.0,7.7,"341,519",tt4912910,220159104.0,"English, French",178000000.0,others
Teen Titans GO! To the Movies,2018-07-27,84 min,"Animation, Action, Adventure",9 nominations,69.0,6.7,"20,291",tt7424200,29790236.0,English,,others
Detective Dee: The Four Heavenly Kings,2018-07-27,132 min,"Action, Adventure, Drama",1 win & 18 nominations,58.0,6.3,"2,843",tt6869538,262963.0,Mandarin,0.0,others
Hot Summer Nights,2018-07-27,107 min,"Crime, Drama, Romance",2 nominations,44.0,6.3,"20,557",tt3416536,,English,0.0,others
Puzzle,2018-09-07,103 min,Drama,2 wins & 2 nominations,66.0,6.7,"8,163",tt6933454,2032018.0,English,50000.0,others
Extinction,2018-07-27,95 min,"Action, Drama, Sci-Fi",1 win,40.0,5.8,"54,648",tt3201640,,English,0.0,netflix
Christopher Robin,2018-08-03,104 min,"Adventure, Comedy, Drama",Nominated for 1 Oscar. 2 wins & 13 nominations total,60.0,7.2,"80,285",tt4575576,99215042.0,English,75000000.0,others
The Darkest Minds,2018-08-03,104 min,"Action, Adventure, Drama",1 win & 3 nominations,39.0,5.7,"33,694",tt4073790,12695691.0,English,34000000.0,others
The Spy Who Dumped Me,2018-08-03,117 min,"Action, Adventure, Comedy",3 wins & 4 nominations,52.0,6.0,"79,486",tt6663582,33562069.0,"English, Russian, French, Lithuanian, German",40000000.0,others
The Miseducation of Cameron Post,2018-09-07,91 min,"Comedy, Drama",5 wins & 16 nominations,69.0,6.6,"23,880",tt6257174,904703.0,English,900000.0,others
Never Goin' Back,2018-10-30,85 min,"Comedy, Crime, Drama",2 wins & 4 nominations,62.0,6.0,"3,410",tt7690016,61271.0,English,0.0,others
Dog Days,2001-11-09,121 min,Drama,7 wins & 3 nominations,66.0,7.0,"6,367",tt0290661,13031.0,German,10.0,others
The Meg,2018-08-10,113 min,"Action, Horror, Sci-Fi",5 wins & 6 nominations,46.0,5.6,"175,903",tt4779682,145522784.0,"English, Mandarin, Thai, Japanese",150000000.0,others
BlacKkKlansman,2018-08-10,135 min,"Biography, Comedy, Crime",Won 1 Oscar. 45 wins & 215 nominations total,83.0,7.5,"271,614",tt7349662,49275340.0,English,15000000.0,others
Slender Man,2018-08-10,93 min,"Horror, Mystery, Thriller",3 nominations,30.0,3.2,"35,618",tt5690360,30569484.0,English,10000000.0,others
A Prayer Before Dawn,2018-08-10,116 min,"Action, Biography, Crime",1 win & 7 nominations,76.0,6.8,"24,624",tt4080956,14453.0,"English, Thai",0.0,others
Crazy Rich Asians,2018-08-15,120 min,"Comedy, Drama, Romance",14 wins & 67 nominations,74.0,6.9,"178,385",tt3104988,174837452.0,"English, Mandarin, Cantonese, Hokkien, French, Malay",30000000.0,others
Alpha,2018-08-17,96 min,"Action, Adventure, Drama",2 wins,63.0,6.6,"64,032",tt4244998,35857181.0,English,51000000.0,others
Mile 22,2018-08-17,94 min,"Action, Thriller",1 win,38.0,6.1,"82,468",tt4560436,36108758.0,"English, Russian, Indonesian, Filipino",35000000.0,others
The Wife,2018-09-28,99 min,Drama,Nominated for 1 Oscar. 19 wins & 28 nominations total,77.0,7.2,"40,992",tt3750872,9601092.0,"English, Swedish",0.0,others
Billionaire Boys Club,2018-07-17,108 min,"Biography, Drama, Thriller",1 win,30.0,5.6,"13,760",tt5179598,1349.0,English,0.0,others
"Juliet, Naked",2018-08-17,97 min,"Comedy, Drama, Music",1 win & 5 nominations,67.0,6.6,"23,510",tt5607096,3444895.0,English,0.0,others
Down a Dark Hall,2018-08-17,96 min,"Drama, Fantasy, Horror",1 nomination,56.0,5.0,"14,453",tt2372251,,English,0.0,others
The Happytime Murders,2018-08-24,91 min,"Action, Comedy, Crime",2 wins & 10 nominations,27.0,5.4,"29,184",tt1308728,20706452.0,English,40000000.0,others
Searching,2018-08-31,102 min,"Drama, Mystery, Thriller",6 wins & 10 nominations,71.0,7.6,"169,080",tt7668870,26020957.0,English,1000000.0,others
Papillon,1973-12-19,151 min,"Biography, Crime, Drama",Nominated for 1 Oscar. 2 wins & 2 nominations total,58.0,8.0,"132,859",tt0070511,53267000.0,"English, Spanish",,others
Axl Rose: The Prettiest Star,2005-08-15,63 min,"Documentary, Biography, Music",,,6.9,27,tt1278004,,English,,others
Operation Finale,2018-08-29,122 min,"Biography, Drama, History",2 nominations,58.0,6.6,"44,705",tt5208252,17612099.0,"English, Spanish, French, German, Hebrew, Arabic",24000000.0,others
Kin,2018-08-31,102 min,"Action, Drama, Sci-Fi",3 nominations,35.0,5.8,"17,763",tt6017942,5718096.0,English,30000000.0,others
The Little Stranger,2018-09-21,111 min,"Drama, Horror, Mystery",5 nominations,67.0,5.5,"10,282",tt6859762,713143.0,English,0.0,others
Destination Wedding,2018-09-07,87 min,"Comedy, Drama, Romance",,46.0,6.0,"31,263",tt6987770,,"English, Spanish",0.0,others
