Title,Year,Released,Runtime,Genre,Awards,Metascore,imdbRating,imdbVotes,imdbID,BoxOffice,original_language,release_date,budget,revenue
Adrift,2018,01 Jun 2018,96 min,"Action, Adventure, Biography",5 nominations,56.0,6.6,"58,470",tt6306064,"$31,445,012",en,2018-06-08,35000000.0,59900000.0
Adrift,2018,01 Jun 2018,96 min,"Action, Adventure, Biography",5 nominations,56.0,6.6,"58,470",tt6306064,"$31,445,012",fr,2018-03-17,0.0,0.0
Adrift,2018,01 Jun 2018,96 min,"Action, Adventure, Biography",5 nominations,56.0,6.6,"58,470",tt6306064,"$31,445,012",bs,2018-08-11,0.0,0.0
Adrift,2018,01 Jun 2018,96 min,"Action, Adventure, Biography",5 nominations,56.0,6.6,"58,470",tt6306064,"$31,445,012",es,2019-04-13,0.0,0.0
Adrift,2018,01 Jun 2018,96 min,"Action, Adventure, Biography",5 nominations,56.0,6.6,"58,470",tt6306064,"$31,445,012",pt,2021-12-07,0.0,0.0
Adrift,2018,01 Jun 2018,96 min,"Action, Adventure, Biography",5 nominations,56.0,6.6,"58,470",tt6306064,"$31,445,012",es,2020-10-31,0.0,0.0
Upgrade,2018,01 Jun 2018,100 min,"Action, Sci-Fi, Thriller",3 wins & 26 nominations,67.0,7.5,"191,226",tt6499752,"$11,977,130",en,2018-05-31,5000000.0,16706680.0
American Animals,2018,14 Aug 2018,116 min,"Biography, Crime, Drama",10 wins & 22 nominations,68.0,7.0,"46,420",tt6212478,"$2,856,954",en,2018-06-01,3000000.0,2847319.0
Social Animals,2018,01 Jun 2018,90 min,Comedy,,37.0,5.3,"1,902",tt5639898,"$5,007",en,2018-06-01,0.0,0.0
Social Animals,2018,01 Jun 2018,90 min,Comedy,,37.0,5.3,"1,902",tt5639898,"$5,007",en,2018-03-09,0.0,0.0
Social Animals,2018,01 Jun 2018,90 min,Comedy,,37.0,5.3,"1,902",tt5639898,"$5,007",en,2018-03-09,0.0,0.0
Ocean's 8: Reimagining the Met Gala,2018,11 Sep 2018,13 min,"Documentary, Short",,,7.1,21,tt9108974,,,,,
Won't You Be My Neighbor?,2018,29 Jun 2018,95 min,"Documentary, Biography",54 wins & 34 nominations,85.0,8.3,"26,192",tt7681902,"$22,835,787",en,2018-06-29,0.0,22835787.0
Hereditary,2018,08 Jun 2018,127 min,"Drama, Horror, Mystery",48 wins & 112 nominations,87.0,7.3,"334,055",tt7784604,"$44,069,456",en,2018-06-07,10000000.0,82530552.0
Hotel Artemis,2018,08 Jun 2018,94 min,"Action, Crime, Drama",1 win & 1 nomination,58.0,6.1,"55,254",tt5834262,"$6,708,147",en,2018-06-07,15000000.0,12371132.0
SuperFly,2018,13 Jun 2018,116 min,"Action, Crime, Thriller",,52.0,5.2,"7,309",tt7690670,"$20,545,116",en,2018-06-13,16000000.0,20545116.0
Incredibles 2,2018,15 Jun 2018,118 min,"Animation, Action, Adventure",Nominated for 1 Oscar. 12 wins & 81 nominations total,80.0,7.6,"305,694",tt3606756,"$608,581,744",en,2018-06-14,200000000.0,1242805359.0
Tag,2018,15 Jun 2018,100 min,"Action, Comedy",3 nominations,56.0,6.5,"137,681",tt2854926,"$54,730,625",en,2018-05-30,28000000.0,75100000.0
Tag,2018,15 Jun 2018,100 min,"Action, Comedy",3 nominations,56.0,6.5,"137,681",tt2854926,"$54,730,625",en,2021-05-08,1000.0,0.0
On Chesil Beach,2017,18 May 2018,110 min,"Drama, Music, Romance",,62.0,6.3,"11,720",tt1667321,"$745,971",en,2018-01-19,745971.0,3335913.0
Gotti,2018,14 Jun 2018,112 min,"Biography, Crime, Drama",7 nominations,24.0,4.7,"16,021",tt1801552,"$4,343,227",en,2018-06-14,10000000.0,4343227.0
Jurassic World: Fallen Kingdom,2018,22 Jun 2018,128 min,"Action, Adventure, Sci-Fi",4 wins & 26 nominations,51.0,6.1,"324,475",tt4881806,"$417,719,760",en,2018-06-22,170000000.0,1310466296.0
Boundaries,2018,13 Sep 2018,104 min,"Comedy, Drama",5 nominations,50.0,5.5,"2,466",tt5686062,"$703,438",en,2018-06-22,0.0,557169.0
Boundaries,2018,13 Sep 2018,104 min,"Comedy, Drama",5 nominations,50.0,5.5,"2,466",tt5686062,"$703,438",en,2018-05-01,0.0,0.0
Boundaries,2018,13 Sep 2018,104 min,"Comedy, Drama",5 nominations,50.0,5.5,"2,466",tt5686062,"$703,438",ru,2019-10-27,0.0,0.0
Damsel,2018,22 Jun 2018,113 min,"Comedy, Drama, Western",3 nominations,63.0,5.6,"5,550",tt5881528,"$305,136",en,2018-06-22,0.0,0.0
Damsel,2018,22 Jun 2018,113 min,"Comedy, Drama, Western",3 nominations,63.0,5.6,"5,550",tt5881528,"$305,136",en,2019-04-19,0.0,0.0
