Title,Genre,Premiere,Runtime,Language
A Perfect Fit,Romantic comedy / drama,15-Jul-21,1 h 52 min,Indonesian
My Amanda,Romance,15-Jul-21,1 h 29 min,Filipino
Deep,Science fiction,16-Jul-21,1 h 41 min,Thai
Fear Street Part 3: 1666,Supernatural horror,16-Jul-21,1 h 54 min,English
Trollhunters: Rise of the Titans,Animated fantasy,21-Jul-21,1 h 46 min,English
Blood Red Sky,Thriller,23-Jul-21,2 h 3 min,German
Bankrolled,Comedy,23-Jul-21,1 h 37 min,Spanish
Bartkowiak,Action,28-Jul-21,1 h 31 min,Polish
Resort to Love,Romantic comedy,29-Jul-21,1 h 41 min,English
The Last Mercenary,Action comedy,30-Jul-21,1 h 52 min,French
The Kissing Booth 3,Comedy drama,11-Aug-21,1 h 53 min,English
Beckett,Action thriller,13-Aug-21,1 h 50 min,English
Black Island,Thriller,18-Aug-21,1 h 44 min,German
The Secret Diary of an Exchange Student,Romantic comedy,18-Aug-21,1 h 36 min,Portuguese
Sweet Girl,Action,20-Aug-21,1 h 50 min,English
The Loud House Movie,Animation/comedy,20-Aug-21,1 h 27 min,English
The Witcher: Nightmare of the Wolf,Animated dark fantasy,23-Aug-21,1 h 23 min,English
He's All That,Teen romantic comedy,27-Aug-21,1 h 31 min,English
Afterlife of the Party,Comedy,02-Sep-21,1 h 49 min,English
JJ+E,Romance,08-Sep-21,1 h 31 min,Swedish
Kate,Action thriller,10-Sep-21,1 h 46 min,English
Prey,Thriller,10-Sep-21,1 h 27 min,German
Nightbooks,Fantasy/horror,15-Sep-21,1 h 40 min,English
Ankahi Kahaniya,Anthology film,17-Sep-21,1 h 50 min,Hindi
Confessions of an Invisible Girl,Drama,22-Sep-21,1 h 31 min,Portuguese
Intrusion,Thriller,22-Sep-21,1 h 33 min,English
The Starling,Comedy drama,24-Sep-21,1 h 44 min,English
Friendzone,Romantic comedy,29-Sep-21,1 h 28 min,French
No One Gets Out Alive,Horror,29-Sep-21,1 h 25 min,English
Sounds Like Love,Romantic comedy,29-Sep-21,1 h 50 min,Spanish
Diana: The Musical,Musical,01-Oct-21,1 h 57 min,English
Forever Rich,Thriller,01-Oct-21,1 h 30 min,Dutch
Swallow,Drama,01-Oct-21,2 h 8 min,English
The Guilty,Thriller,01-Oct-21,1 h 31 min,English
There's Someone Inside Your House,Slasher,06-Oct-21,1 h 36 min,English
Grudge,Thriller,08-Oct-21,1 h 46 min,Turkish
"My Brother, My Sister",Drama,08-Oct-21,1 h 50 min,Italian
Bright: Samurai Soul,Anime/fantasy,12-Oct-21,1 h 20 min,Japanese
Fever Dream,Drama,13-Oct-21,1 h 33 min,Spanish
Operation Hyacinth,Drama,13-Oct-21,1 h 52 min,Polish
A World Without,Science fiction / teen drama,14-Oct-21,1 h 47 min,Indonesian
The Four of Us,Comedy,15-Oct-21,1 h 28 min,German
Night Teeth,Thriller,20-Oct-21,1 h 48 min,English
Stuck Together,Comedy,20-Oct-21,2 h 6 min,French
Little Big Mouth,Romantic comedy,22-Oct-21,1 h 34 min,English
Hypnotic,Thriller,27-Oct-21,1 h 29 min,English
Nobody Sleeps in the Woods Tonight Part 2,Horror,27-Oct-21,1 h 37 min,Polish
Army of Thieves,Romantic comedy / heist,29-Oct-21,2 h 9 min,English
The Harder They Fall,Western,03-Nov-21,2 h 19 min,English
Love Hard,Romantic comedy,05-Nov-21,1 h 46 min,English
Meenakshi Sundareshwar,Romantic comedy,05-Nov-21,2 h 21 min,Hindi
We Couldn't Become Adults,Drama,05-Nov-21,2 h 4 min,Japanese
Yara,Drama,05-Nov-21,1 h 36 min,Italian
Father Christmas Is Back,Comedy,07-Nov-21,1 h 45 min,English
Happiness Ever After,Romantic drama,10-Nov-21,1 h 39 min,English
Passing,Drama,10-Nov-21,1 h 39 min,English
7 Prisoners,Drama,11-Nov-21,1 h 34 min,Portuguese
Red Notice,Action comedy,12-Nov-21,1 h 57 min,English
Just Short of Perfect,Romantic comedy,18-Nov-21,1 h 34 min,Portuguese
The Princess Switch 3: Romancing the Star,Romantic comedy,18-Nov-21,1 h 46 min,English
Dhamaka,Action thriller,19-Nov-21,1 h 44 min,Hindi
Love Me Instead,Drama,19-Nov-21,2 h 4 min,Turkish
"Tick, Tick... Boom!",Musical,19-Nov-21,1 h 55 min,English
Bruised,Drama,24-Nov-21,2 h 12 min,English
A Castle for Christmas,Romantic comedy,26-Nov-21,1 h 39 min,English
The Power of the Dog,Drama,01-Dec-21,2 h 8 min,English
Single All the Way,Holiday romantic comedy,02-Dec-21,1 h 41 min,English
The Whole Truth,Horror,02-Dec-21,2 h 5 min,Thai
