Title,Year,Released,Runtime,Genre,Awards,Metascore,imdbRating,imdbVotes,imdbID,BoxOffice,Language
Terminal,2018,11 May 2018,95 min,"Comedy, Crime, Drama",2 nominations,27,5.3,"23,518",tt4463816,N/A,English
Deadpool 2,2018,18 May 2018,119 min,"Action, Adventure, Comedy",6 wins & 52 nominations,66,7.7,"597,624",tt5463162,"$324,591,735","English, Cantonese, Spanish, Russian"
Book Club,2018,18 May 2018,104 min,"Comedy, Drama, Romance",2 wins & 3 nominations,53,6.1,"29,050",tt6857166,"$68,566,296","English, Hungarian, Spanish, French"
First Reformed,2017,08 Jun 2018,113 min,"Drama, Mystery, Thriller",Nominated for 1 Oscar. 60 wins & 109 nominations total,85,7.1,"58,770",tt6053438,"$3,448,256",English
Pope Francis: A Man of His Word,2018,14 Jun 2018,96 min,"Documentary, Biography",1 win & 4 nominations,63,6.5,"2,318",tt6915100,"$2,008,385","Italian, Spanish, German, English"
Show Dogs,2018,18 May 2018,92 min,"Adventure, Comedy, Crime",1 nomination,31,3.9,"4,858",tt5691024,"$17,857,020",English
Solo: A Star Wars Story,2018,25 May 2018,135 min,"Action, Adventure, Sci-Fi",Nominated for 1 Oscar. 6 wins & 26 nominations total,62,6.9,"356,610",tt3778644,"$213,767,512",English
How to Talk to Girls at Parties,2017,25 May 2018,102 min,"Comedy, Music, Romance",9 nominations,50,5.7,"11,711",tt3859310,"$84,809",English
In Darkness,2018,25 May 2018,110 min,"Mystery, Thriller",N/A,59,5.7,"13,727",tt5164184,N/A,"English, Serbo-Croatian, Russian"
The Misandrists,2017,25 May 2018,91 min,"Comedy, Drama",4 nominations,56,5.0,503,tt5518756,"$26,123","English, German, Danish"
Future World,2018,25 May 2018,88 min,"Action, Adventure, Sci-Fi",N/A,10,3.2,"6,520",tt5737536,N/A,English
The First Purge,2018,04 Jul 2018,97 min,"Action, Horror, Sci-Fi",1 nomination,54,5.2,"65,962",tt6133466,"$69,488,745","English, French, Spanish"
Ant-Man and the Wasp,2018,06 Jul 2018,118 min,"Action, Adventure, Comedy",2 wins & 21 nominations,70,7.0,"418,820",tt5095030,"$216,648,740","English, Spanish, French"
