Title,Year,Released,Runtime,Genre,Awards,Metascore,imdbRating,imdbVotes,imdbID,BoxOffice,Language
Spell,2020,30 Oct 2020,91 min,"Horror, Thriller",N/A,38,5.5,"9,051",tt10736580,"$500,104",English
Jungleland,2019,06 Nov 2020,90 min,Drama,1 nomination,53,6.2,"6,578",tt8710596,N/A,English
Let Him Go,2020,06 Nov 2020,113 min,"Crime, Drama, Thriller",3 wins & 3 nominations,63,6.7,"30,132",tt9340860,"$9,358,025","English, Ukrainian"
The Informer,2019,30 Aug 2019,113 min,"Action, Crime, Drama",1 nomination,61,6.6,"39,116",tt1833116,"$300,460","English, Polish, Spanish"
The Dark and the Wicked,2020,06 Nov 2020,95 min,Horror,3 wins & 11 nominations,72,6.1,"18,774",tt10229558,"$157,252",English
Hillbilly Elegy,2020,24 Nov 2020,116 min,Drama,Nominated for 2 Oscars. 5 wins & 33 nominations total,38,6.7,"43,962",tt6772802,N/A,English
Mank,2020,04 Dec 2020,131 min,"Biography, Comedy, Drama",Won 2 Oscars. 58 wins & 269 nominations total,79,6.8,"77,724",tt10618286,N/A,"English, German, Latin"
Freaky,2020,13 Nov 2020,102 min,"Comedy, Horror, Thriller",1 win & 16 nominations,67,6.3,"63,221",tt10919380,"$9,030,855","English, Spanish"
Jingle Jangle: A Christmas Journey,2020,13 Nov 2020,122 min,"Family, Fantasy, Musical",4 wins & 22 nominations,69,6.4,"19,602",tt7736496,N/A,English
Dreamland,2019,17 Nov 2020,98 min,"Drama, Thriller",1 nomination,57,5.8,"7,367",tt5294522,N/A,English
Fatman,2020,24 Nov 2020,100 min,"Action, Adventure, Comedy",2 wins & 2 nominations,40,5.9,"27,555",tt10310140,"$278,378",English
The Life Ahead,2020,13 Nov 2020,94 min,Drama,Nominated for 1 Oscar. 14 wins & 36 nominations total,66,6.8,"14,727",tt10627584,N/A,"Italian, Spanish, Hebrew, Romanian"
The Climb,2017,20 Dec 2017,103 min,"Comedy, Drama, Romance",2 wins,N/A,6.9,"7,870",tt5157682,N/A,"French, English, German, Nepali"
Chick Fight,2020,13 Nov 2020,97 min,"Action, Comedy, Drama",N/A,39,4.8,"4,156",tt10944486,N/A,English
The Princess Switch: Switched Again,2020,19 Nov 2020,96 min,"Comedy, Drama, Family",1 win & 1 nomination,N/A,5.4,"12,440",tt11199410,N/A,English
Run,2020,20 Nov 2020,90 min,"Mystery, Thriller",3 wins & 5 nominations,67,6.7,"84,374",tt8633478,N/A,English
Sound of Metal,2019,04 Dec 2020,120 min,"Drama, Music",Won 2 Oscars. 91 wins & 177 nominations total,82,7.7,"134,856",tt5363618,N/A,"English, American Sign , French, Persian"
The Last Vermeer,2019,20 Nov 2020,118 min,Drama,1 nomination,56,6.7,"4,351",tt8337320,"$685,380",English
Jiu Jitsu,2020,20 Nov 2020,102 min,"Action, Sci-Fi, Thriller",N/A,27,2.9,"9,248",tt9624766,N/A,"English, Burmese"
Buddy Games,2019,24 Nov 2020,96 min,Comedy,2 wins,22,4.8,"7,482",tt7070818,"$405,904",English
The Croods: A New Age,2020,25 Nov 2020,95 min,"Animation, Adventure, Comedy",31 nominations,56,6.9,"47,071",tt2850386,"$58,568,815",English
Happiest Season,2020,25 Nov 2020,102 min,Drama,3 wins & 4 nominations,69,6.6,"43,231",tt8522006,N/A,English
Ma Rainey's Black Bottom,2020,18 Dec 2020,94 min,"Drama, Music",Won 2 Oscars. 84 wins & 192 nominations total,87,6.9,"55,056",tt10514222,N/A,English
Uncle Frank,2020,25 Nov 2020,95 min,"Comedy, Drama",Nominated for 1 Primetime Emmy. 7 wins & 13 nominations total,58,7.3,"21,328",tt11327514,N/A,"English, Arabic"
Folklore: The Long Pond Studio Sessions,2020,25 Nov 2020,105 min,"Documentary, Drama, Music",N/A,N/A,8.4,"3,841",tt13524234,N/A,English
Superintelligence,2020,26 Nov 2020,106 min,"Action, Comedy, Romance",1 nomination,41,5.4,"11,566",tt7178640,N/A,English
Life in a Year,2020,27 Nov 2020,107 min,"Drama, Romance",N/A,N/A,6.1,"9,382",tt6598238,N/A,English
Black Beauty,1994,29 Jul 1994,88 min,"Adventure, Drama, Family",1 win & 1 nomination,N/A,6.6,"10,249",tt0109279,"$4,630,377",English
The Prom,2020,11 Dec 2020,130 min,"Comedy, Drama, Musical",5 wins & 29 nominations,55,5.9,"27,949",tt10161886,N/A,English
All My Life,2020,04 Dec 2020,91 min,"Drama, Romance",1 nomination,39,6.3,"5,235",tt8305852,"$913,935",English
Godmothered,2020,04 Dec 2020,110 min,"Comedy, Drama, Family",1 win & 2 nominations,49,6.1,"13,126",tt11681250,N/A,"English, Latin"
Half Brothers,2020,04 Dec 2020,96 min,"Comedy, Drama",1 nomination,30,6.0,"3,357",tt10515926,"$2,241,980","English, Spanish"
Wander,2020,04 Dec 2020,94 min,Thriller,N/A,54,4.9,"8,987",tt9689696,N/A,English
Black Bear,2020,04 Dec 2020,104 min,"Comedy, Drama",2 wins & 15 nominations,79,6.5,"13,993",tt9601220,N/A,English
Let Them All Talk,2020,10 Dec 2020,113 min,"Comedy, Drama",1 win & 5 nominations,72,6.1,"11,948",tt10808832,N/A,English
The Midnight Sky,2020,23 Dec 2020,118 min,"Adventure, Drama, Sci-Fi",Nominated for 1 Oscar. 5 wins & 46 nominations total,58,5.7,"85,629",tt10539608,N/A,English
Songbird,2020,11 Dec 2020,84 min,"Drama, Sci-Fi, Thriller",N/A,27,4.8,"10,797",tt12592252,N/A,"English, Spanish"
Wild Mountain Thyme,2020,11 Dec 2020,102 min,"Comedy, Drama, Romance",6 nominations,42,5.7,"10,369",tt6842770,"$213,440",English
Safety,2020,11 Dec 2020,122 min,"Biography, Drama, Sport",2 nominations,55,6.8,"4,309",tt10649016,N/A,English
Wander Darkly,2020,11 Dec 2020,97 min,Drama,1 win & 2 nominations,66,5.8,"1,715",tt8902978,N/A,"English, Spanish"
I'm Your Woman,2020,11 Dec 2020,120 min,"Crime, Drama",2 wins & 4 nominations,63,6.2,"9,375",tt10243992,N/A,English
The Stand In,2020,11 Dec 2020,101 min,"Comedy, Drama",1 nomination,38,4.7,"3,749",tt7970348,N/A,English
Archenemy,2020,11 Dec 2020,90 min,"Action, Adventure, Crime",1 nomination,57,5.0,"3,365",tt11274100,"$121,642",English
Farewell Amor,2020,11 Dec 2020,95 min,"Drama, Music, Romance",9 wins & 8 nominations,75,6.9,"1,382",tt11380884,"$4,689","English, Portuguese, Aboriginal"
Monster Hunter,2020,18 Dec 2020,103 min,"Action, Adventure, Fantasy",2 nominations,47,5.2,"62,300",tt6475714,"$15,162,470",English
Greenland,2020,18 Dec 2020,119 min,"Action, Thriller",1 win & 2 nominations,64,6.4,"122,120",tt7737786,N/A,"English, Spanish, Russian"
Fatale,2020,18 Dec 2020,102 min,Thriller,N/A,42,5.4,"11,943",tt8829830,"$6,306,897",English
Skylines,2020,18 Dec 2020,113 min,"Action, Adventure, Sci-Fi",1 win,46,4.7,"8,558",tt9387250,N/A,English
Hunter Hunter,2020,18 Dec 2020,93 min,"Drama, Horror, Mystery",3 wins & 3 nominations,61,6.4,"11,706",tt2226162,"$32,705",English
Breach,2007,16 Feb 2007,110 min,"Biography, Crime, Drama",1 win & 3 nominations,74,7.0,"60,420",tt0401997,"$33,231,264","English, Russian, Arabic, Latin"
"Ariana Grande: Excuse Me, I Love You",2020,21 Dec 2020,97 min,"Documentary, Music",1 nomination,N/A,6.3,"2,757",tt13615386,N/A,English
Sylvie's Love,2020,23 Dec 2020,114 min,"Drama, Music, Romance",Nominated for 1 Primetime Emmy. 6 wins & 27 nominations total,74,6.8,"6,130",tt9827834,N/A,English
Wonder Woman 1984,2020,25 Dec 2020,151 min,"Action, Adventure, Fantasy",28 wins & 47 nominations,60,5.4,"275,652",tt7126948,"$46,801,036","English, Arabic, Russian, Mandarin"
Soul,2020,25 Dec 2020,100 min,"Animation, Adventure, Comedy",Won 2 Oscars. 124 wins & 93 nominations total,83,8.0,"339,872",tt2948372,N/A,"English, Korean, Inuktitut"
We Can Be Heroes,2020,25 Dec 2020,100 min,"Action, Comedy, Drama",1 nomination,51,4.7,"15,672",tt10600398,N/A,English
News of the World,2020,25 Dec 2020,118 min,"Action, Adventure, Drama",Nominated for 4 Oscars. 5 wins & 80 nominations total,73,6.8,"90,271",tt6878306,"$12,668,325","English, North American Indian, German"
One Night in Miami...,2020,08 Jan 2021,114 min,Drama,Nominated for 3 Oscars. 69 wins & 182 nominations total,83,7.1,"32,906",tt10612922,N/A,"English, Arabic"
Promising Young Woman,2020,25 Dec 2020,113 min,"Crime, Drama, Mystery",Won 1 Oscar. 117 wins & 194 nominations total,73,7.5,"183,515",tt9620292,"$6,460,965",English
Pieces of a Woman,2020,07 Jan 2021,126 min,Drama,Nominated for 1 Oscar. 9 wins & 64 nominations total,66,7.0,"52,148",tt11161474,N/A,English
Shadow in the Cloud,2020,01 Jan 2021,83 min,"Action, Horror, War",2 wins,66,5.0,"28,308",tt9691136,"$156,932",English
The White Tiger,2021,22 Jan 2021,125 min,"Crime, Drama",Nominated for 1 Oscar. 1 win & 12 nominations total,76,7.1,"62,234",tt6571548,N/A,"Hindi, English"
Locked Down,2021,14 Jan 2021,118 min,"Comedy, Crime, Romance",N/A,42,5.2,"12,780",tt13061914,N/A,English
The Dig,2021,29 Jan 2021,112 min,"Biography, Drama, History",Nominated for 5 BAFTA 3 wins & 10 nominations total,73,7.1,"77,418",tt3661210,N/A,English
Outside the Wire,2021,15 Jan 2021,114 min,"Action, Adventure, Fantasy",N/A,45,5.4,"43,696",tt10451914,N/A,"English, Ukrainian, Russian"
The Marksman,2021,15 Jan 2021,108 min,"Action, Drama",N/A,44,5.6,"39,263",tt6902332,"$15,566,093","English, Spanish"
The Ultimate Playlist of Noise,2021,15 Jan 2021,99 min,"Comedy, Drama, Music",1 win & 1 nomination,N/A,6.6,"1,004",tt11268742,N/A,English
American Skin,2019,15 Jan 2021,90 min,"Drama, Thriller",1 win & 5 nominations,24,6.9,"3,659",tt10195452,"$282,332",English
Don't Tell a Soul,2020,15 Jan 2021,83 min,"Drama, Thriller",N/A,45,5.9,"4,745",tt8046498,N/A,English
Our Friend,2019,29 Jan 2021,124 min,"Drama, Romance",N/A,57,7.3,"13,288",tt9608818,"$663,725",English
No Man's Land,2001,19 Sep 2001,98 min,"Comedy, Drama, War",Won 1 Oscar. 30 wins & 25 nominations total,84,7.9,"47,740",tt0283509,"$1,012,153","Bosnian, French, English, Serbian"
Born a Champion,2021,22 Jan 2021,112 min,"Action, Drama, Sport",N/A,N/A,6.8,"4,237",tt10661710,N/A,English
Wrong Turn,2003,30 May 2003,84 min,"Horror, Thriller",3 nominations,32,6.1,"124,326",tt0295700,"$15,418,790",English
Penguin Bloom,2020,27 Jan 2021,95 min,"Biography, Drama",2 wins & 12 nominations,54,6.8,"11,191",tt6317656,N/A,English
The Little Things,2021,29 Jan 2021,128 min,"Crime, Drama, Mystery",1 win & 2 nominations,54,6.3,"109,496",tt10016180,"$15,342,746","English, Spanish, Arabic"
Finding 'Ohana,2021,29 Jan 2021,123 min,"Action, Adventure, Comedy",1 win & 2 nominations,69,6.1,"10,782",tt10332588,N/A,"English, Hawaiian, Spanish"
Nomadland,2020,19 Feb 2021,107 min,Drama,Won 3 Oscars. 256 wins & 156 nominations total,91,7.3,"168,277",tt9770150,"$3,700,000",English
Malcolm,1986,05 Nov 1986,85 min,"Comedy, Crime, Sci-Fi",9 wins,N/A,7.1,"2,628",tt0091464,"$544,472",English
Palmer,2021,29 Jan 2021,110 min,Drama,3 nominations,53,7.2,"37,363",tt6857376,N/A,English
Falling,2020,05 Feb 2021,112 min,Drama,4 wins & 19 nominations,63,6.5,"6,351",tt9143112,N/A,"English, Spanish"
Bliss,2021,05 Feb 2021,103 min,"Drama, Romance, Sci-Fi",1 win & 2 nominations,40,5.3,"18,733",tt10333426,N/A,English
Little Fish,2005,08 Sep 2005,114 min,"Crime, Drama, Romance",12 wins & 23 nominations,77,6.2,"8,958",tt0382810,"$8,148","Vietnamese, English"
Son of the South,2020,05 Feb 2021,105 min,"Biography, Drama",N/A,60,6.2,"2,095",tt2235372,N/A,English
PVT CHAT,2020,09 Feb 2021,86 min,Drama,N/A,61,5.9,"1,644",tt8110004,N/A,English
Music,2021,12 Feb 2021,107 min,"Drama, Musical",4 wins & 3 nominations,23,3.2,"8,356",tt7541720,N/A,"English, Mandarin"
Judas and the Black Messiah,2021,12 Feb 2021,126 min,"Biography, Drama, History",Won 2 Oscars. 45 wins & 81 nominations total,85,7.4,"84,500",tt9784798,"$5,478,009",English
The Mauritanian,2021,02 Mar 2021,129 min,"Biography, Drama, Thriller",Nominated for 5 BAFTA 5 wins & 18 nominations total,53,7.4,"53,878",tt4761112,"$836,536","English, French, Arabic, German"
Breaking News in Yuba County,2021,12 Feb 2021,96 min,"Comedy, Drama, Thriller",N/A,24,5.8,"6,528",tt7737640,N/A,English
Barb and Star Go to Vista Del Mar,2021,12 Feb 2021,107 min,Comedy,3 wins & 20 nominations,64,6.3,"18,586",tt3797512,N/A,English
Minari,2020,12 Feb 2021,115 min,Drama,Won 1 Oscar. 121 wins & 249 nominations total,89,7.4,"85,385",tt10633456,"$3,110,580","Korean, English"
To All the Boys: Always and Forever,2021,12 Feb 2021,109 min,"Comedy, Drama, Romance",2 wins & 2 nominations,65,6.3,"28,423",tt10676012,N/A,English
The World to Come,2020,02 Mar 2021,105 min,"Drama, History, Romance",6 wins & 11 nominations,73,6.3,"8,915",tt9738716,"$116,143",English
French Exit,2020,12 Feb 2021,113 min,"Comedy, Drama",2 wins & 7 nominations,56,5.9,"7,861",tt10279362,"$741,895",English
Land,2021,12 Feb 2021,89 min,"Adventure, Drama",4 wins & 2 nominations,61,6.6,"12,179",tt10265034,"$2,577,830",English
Willy's Wonderland,2021,12 Feb 2021,88 min,"Action, Comedy, Horror",2 nominations,44,5.5,"32,028",tt8114980,"$418,286",English
The Map of Tiny Perfect Things,2021,12 Feb 2021,98 min,"Comedy, Fantasy, Romance",1 nomination,61,6.8,"24,489",tt11080108,N/A,English
Fear of Rain,2021,12 Feb 2021,109 min,"Drama, Horror, Thriller",1 nomination,N/A,5.9,"8,544",tt10037014,N/A,English
I Care a Lot,2020,19 Feb 2021,118 min,"Comedy, Crime, Drama",1 win & 6 nominations,66,6.3,"136,431",tt9893250,N/A,English
Flora,1989,01 Nov 2006,1 min,"Animation, Short, Drama",N/A,N/A,6.5,"1,319",tt0169912,N/A,None
Silk Road,2021,19 Feb 2021,112 min,"Crime, Drama, Thriller",N/A,41,6.0,"6,070",tt7937254,N/A,English
The United States vs. Billie Holiday,2021,26 Feb 2021,126 min,"Biography, Drama, Music",Nominated for 1 Oscar. 11 wins & 25 nominations total,52,6.3,"13,816",tt8521718,N/A,"English, Italian, German"
Cherry,2021,12 Mar 2021,142 min,"Biography, Crime, Drama",3 wins & 4 nominations,44,6.6,"33,931",tt9130508,N/A,English
Crisis,2021,26 Feb 2021,118 min,"Drama, Thriller",1 nomination,41,6.2,"11,926",tt9731682,"$404,738",English
Billie Eilish: The World's a Little Blurry,2021,26 Feb 2021,140 min,"Documentary, Biography, Music",Nominated for 4 Primetime Emmys. 18 nominations total,70,7.7,"8,218",tt11459366,N/A,English
The Vigil,2019,26 Feb 2021,89 min,"Horror, Mystery, Thriller",3 nominations,69,5.8,"8,672",tt10793644,"$50,439","English, Yiddish, Hebrew"
Moxie,2021,03 Mar 2021,111 min,"Comedy, Drama, Music",N/A,54,6.7,"26,649",tt6432466,N/A,English
Coming 2 America,2021,05 Mar 2021,110 min,Comedy,Nominated for 1 Oscar. 6 wins & 11 nominations total,52,5.3,"71,920",tt6802400,N/A,English
The SpongeBob Movie: Sponge on the Run,2020,04 Mar 2021,91 min,"Animation, Adventure, Comedy",3 nominations,65,5.9,"19,473",tt4823776,"$4,810,790","English, Arabic, Ukrainian"
Raya and the Last Dragon,2021,05 Mar 2021,107 min,"Animation, Action, Adventure",Nominated for 1 Oscar. 13 wins & 59 nominations total,74,7.3,"157,092",tt5109280,"$54,723,032",English
Chaos Walking,2021,05 Mar 2021,109 min,"Action, Adventure, Fantasy",2 wins,38,5.7,"51,323",tt2076822,"$13,287,908",English
Boss Level,2020,05 Mar 2021,100 min,"Action, Adventure, Comedy",N/A,56,6.8,"71,436",tt7638348,N/A,English
Boogie,2021,05 Mar 2021,90 min,"Drama, Sport",N/A,54,5.2,"2,292",tt10896398,"$4,178,620",English
Yes Day,2021,12 Mar 2021,86 min,"Comedy, Family",2 nominations,46,5.7,"26,723",tt8521876,N/A,"English, Spanish"
Long Weekend,1978,29 Mar 1979,97 min,"Horror, Mystery, Thriller",5 wins & 1 nomination,61,6.6,"5,606",tt0079482,N/A,English
Cosmic Sin,2021,12 Mar 2021,88 min,"Action, Sci-Fi",1 nomination,9,2.5,"14,018",tt11762434,N/A,English
Trust,2010,28 Apr 2011,106 min,"Crime, Drama, Thriller",1 win & 3 nominations,60,6.9,"43,069",tt1529572,"$120,016",English
Zack Snyder's Justice League,2021,18 Mar 2021,242 min,"Action, Adventure, Fantasy",5 wins & 6 nominations,54,8.0,"407,353",tt12361974,N/A,"English, Icelandic, French"
The Courier,2020,19 Mar 2021,112 min,"Drama, History, Thriller",1 nomination,65,7.2,"65,279",tt8368512,"$6,613,432","English, Russian"
City of Lies,2018,19 Mar 2021,112 min,"Biography, Crime, Drama",N/A,44,6.5,"16,528",tt2677722,"$572,493","English, Spanish"
Happily,2021,19 Mar 2021,96 min,"Comedy, Crime, Romance",1 nomination,58,5.3,"4,040",tt9849004,N/A,English
Nobody,2021,26 Mar 2021,92 min,"Action, Crime, Drama",5 wins & 18 nominations,64,7.4,"270,746",tt7888964,"$27,568,035","English, Russian, Spanish"
Bad Trip,2021,26 Mar 2021,86 min,Comedy,1 nomination,61,6.5,"25,889",tt9684220,N/A,English
The Seventh Day,2021,26 Mar 2021,87 min,"Horror, Mystery",1 nomination,43,4.5,"4,953",tt11263022,N/A,English
Senior Moment,2021,26 Mar 2021,92 min,"Comedy, Drama, Romance",N/A,41,5.7,"2,042",tt6588950,"$41,598",English
Godzilla vs. Kong,2021,31 Mar 2021,113 min,"Action, Sci-Fi, Thriller",3 wins & 19 nominations,59,6.3,"216,800",tt5034838,"$100,916,094","English, American Sign "
Concrete Cowboy,2020,02 Apr 2021,111 min,"Drama, Western",1 win & 3 nominations,67,6.3,"9,157",tt8846176,N/A,English
The Unholy,2021,02 Apr 2021,99 min,"Drama, Horror, Mystery",1 nomination,36,5.1,"23,882",tt9419056,"$15,532,137","English, American Sign , Latin"
Every Breath You Take,2021,02 Apr 2021,105 min,"Drama, Mystery, Thriller",N/A,32,5.3,"6,027",tt2231874,N/A,English
Shiva Baby,2020,02 Apr 2021,77 min,"Comedy, Drama",11 wins & 44 nominations,79,7.1,"24,371",tt11317142,"$159,294",English
The Girl Who Believes in Miracles,2021,02 Apr 2021,100 min,"Drama, Family",N/A,N/A,5.4,"1,077",tt9098454,"$3,163,362",English
The Believer,2001,23 Aug 2001,98 min,Drama,6 wins & 10 nominations,75,7.1,"39,454",tt0247199,"$416,925","English, Hebrew"
Dawn of the Beast,2021,02 Apr 2021,82 min,"Horror, Mystery",N/A,N/A,4.1,899,tt13430932,N/A,English
Voyagers,2021,09 Apr 2021,108 min,"Adventure, Sci-Fi, Thriller",N/A,44,5.4,"23,324",tt9664108,"$3,149,935",English
Thunder Force,2021,09 Apr 2021,106 min,"Action, Adventure, Comedy",1 nomination,34,4.5,"43,318",tt10121392,N/A,English
Arlo the Alligator Boy,2021,16 Apr 2021,90 min,"Animation, Adventure, Comedy",6 nominations,N/A,6.4,"1,185",tt13454122,N/A,English
Monday,2020,16 Apr 2021,116 min,"Drama, Romance",1 win & 12 nominations,58,5.8,"4,766",tt8884906,"$30,932","English, Greek"
In the Earth,2021,16 Apr 2021,107 min,"Horror, Mystery, Thriller",1 win & 9 nominations,63,5.2,"9,319",tt13429362,"$1,113,723","English, Latin"
Stowaway,2021,22 Apr 2021,116 min,"Adventure, Sci-Fi, Thriller",N/A,63,5.6,"48,200",tt9203694,N/A,English
Mortal Kombat,2021,23 Apr 2021,110 min,"Action, Adventure, Fantasy",4 wins & 10 nominations,44,6.0,"178,959",tt0293429,"$42,326,031","English, Japanese, Chinese"
The Mitchells vs the Machines,2021,30 Apr 2021,114 min,"Animation, Adventure, Comedy",Nominated for 1 Oscar. 46 wins & 58 nominations total,81,7.6,"114,198",tt7979580,N/A,English
Vanquish,2021,16 Apr 2021,94 min,"Action, Thriller",1 win & 2 nominations,22,2.9,"4,644",tt5932368,N/A,"English, French, German"
Together Together,2021,23 Apr 2021,90 min,"Comedy, Drama",2 wins & 8 nominations,70,6.4,"8,218",tt11285280,"$1,437,938",English
We Broke Up,2021,23 Apr 2021,80 min,"Comedy, Drama",1 nomination,53,5.1,"1,281",tt11867884,"$15,063",English
The Deep Ones,2020,19 Sep 2020,83 min,"Horror, Sci-Fi",5 wins,N/A,4.1,727,tt11548850,N/A,"English, Finnish, Swiss German"
Things Heard & Seen,2021,29 Apr 2021,121 min,"Drama, Horror, Mystery",1 win,49,5.3,"33,093",tt10962368,N/A,English
Without Remorse,2021,30 Apr 2021,109 min,"Action, Thriller, War",1 nomination,41,5.8,"60,442",tt0499097,N/A,English
The Virtuoso,2021,30 Apr 2021,110 min,"Action, Thriller",N/A,24,4.9,"8,312",tt4136456,N/A,English
Four Good Days,2020,21 May 2021,100 min,Drama,Nominated for 1 Oscar. 3 nominations total,52,6.5,"9,358",tt10344522,"$837,849",English
Separation,2021,30 Apr 2021,107 min,"Drama, Horror, Mystery",1 nomination,N/A,4.7,"4,260",tt9173154,"$4,509,143",English
Wrath of Man,2021,07 May 2021,119 min,"Action, Crime, Thriller",1 nomination,57,7.1,"186,226",tt11083552,"$27,466,489",English
Monster,2003,30 Jan 2004,109 min,"Biography, Crime, Drama",Won 1 Oscar. 30 wins & 26 nominations total,74,7.3,"155,249",tt0340855,"$34,469,210",English
The Paper Tigers,2020,07 May 2021,108 min,"Action, Comedy",3 wins & 3 nominations,67,6.3,"4,899",tt6060444,"$112,691",English
Mainstream,2020,07 May 2021,94 min,"Comedy, Drama",1 win & 2 nominations,36,5.0,"4,792",tt9224288,"$35,696",English
The Water Man,2020,07 May 2021,91 min,"Adventure, Drama, Family",1 win & 2 nominations,68,5.5,"4,214",tt4779326,"$383,234",English
Here Today,2021,07 May 2021,117 min,"Comedy, Drama, Music",N/A,40,6.7,"5,022",tt10944596,"$2,807,494",English
Above Suspicion,2019,07 May 2021,104 min,"Action, Biography, Crime",N/A,46,5.7,"6,821",tt5688068,N/A,English
Reboot Camp,2020,04 May 2021,97 min,Comedy,7 wins,N/A,4.7,"1,842",tt11111286,N/A,English
Benny Loves You,2019,15 Feb 2021,94 min,"Comedy, Fantasy, Horror",3 wins & 4 nominations,N/A,5.6,"2,513",tt3917506,N/A,English
Oxygen,2021,12 May 2021,100 min,"Drama, Fantasy, Sci-Fi",1 nomination,67,6.5,"40,634",tt6341832,N/A,French
Army of the Dead,2021,21 May 2021,148 min,"Action, Crime, Drama",1 win & 4 nominations,57,5.7,"176,911",tt0993840,N/A,"Bable, Polish, English, Spanish, German, French"
Those Who Wish Me Dead,2021,14 May 2021,100 min,"Action, Drama, Thriller",N/A,59,6.0,"64,296",tt3215824,"$7,407,200",English
The Woman in the Window,2020,14 May 2021,100 min,"Crime, Drama, Mystery",6 nominations,41,5.7,"77,990",tt6111574,N/A,English
Spiral,2021,14 May 2021,93 min,"Crime, Horror, Mystery",1 nomination,40,5.2,"56,524",tt10342730,"$23,216,862",English
Georgetown,2019,14 May 2021,99 min,"Biography, Crime, Drama",N/A,49,6.2,"4,577",tt4669252,N/A,English
Finding You,2020,14 May 2021,119 min,"Drama, Romance",1 nomination,41,6.4,"6,070",tt8760280,"$2,753,985",English
The Killing of Two Lovers,2020,14 May 2021,85 min,Drama,1 win & 12 nominations,82,6.9,"4,600",tt10702148,"$71,162",English
616 Wilford Lane,2021,18 May 2021,85 min,Horror,N/A,N/A,4.2,448,tt10225926,N/A,English
Dream Horse,2020,21 May 2021,113 min,"Biography, Comedy, Drama",3 wins & 2 nominations,68,6.9,"5,964",tt9883996,"$2,913,328",English
Blast Beat,2020,26 Jan 2020,105 min,Drama,1 win & 2 nominations,53,5.3,281,tt10767066,N/A,"English, Spanish"
A Quiet Place Part II,2020,28 May 2021,97 min,"Drama, Horror, Sci-Fi",Nominated for 1 BAFTA Award14 wins & 44 nominations total,71,7.2,"240,513",tt8332922,"$160,072,261","English, American Sign "
Cruella,2021,28 May 2021,134 min,"Adventure, Comedy, Crime",Won 1 Oscar. 29 wins & 42 nominations total,59,7.3,"240,976",tt3228774,"$86,103,234","English, French"
Plan B,2009,06 May 2010,106 min,"Comedy, Drama, Romance",2 wins & 2 nominations,N/A,7.0,"4,398",tt1408972,N/A,Spanish
Changing the Game,2012,11 May 2012,104 min,"Action, Crime, Drama",N/A,N/A,4.0,529,tt1569931,N/A,English
Spirit Untamed,2021,04 Jun 2021,88 min,"Animation, Adventure, Comedy",1 win & 9 nominations,49,5.5,"4,027",tt11084896,"$17,716,215",English
The Conjuring: The Devil Made Me Do It,2021,04 Jun 2021,112 min,"Horror, Mystery, Thriller",N/A,53,6.3,"121,774",tt7069210,"$65,631,050","English, Latin"
Gully,2019,04 Jun 2021,84 min,"Crime, Drama",2 nominations,N/A,2.7,"21,297",tt5013984,"$22,517",English
Flashback,2020,04 Jun 2021,97 min,"Drama, Mystery, Thriller",3 nominations,49,5.3,"6,510",tt8372094,N/A,English
Under the Stadium Lights,2021,04 Jun 2021,109 min,"Action, Drama, Sport",N/A,31,3.9,432,tt6384920,N/A,English
Grace and Grit,2021,04 Jun 2021,111 min,"Biography, Drama, Romance",N/A,N/A,5.1,317,tt3910630,N/A,English
Awake,2007,30 Nov 2007,84 min,"Crime, Drama, Mystery",1 win & 3 nominations,33,6.5,"76,988",tt0211933,"$14,377,198","English, Japanese"
Infinite,2021,10 Jun 2021,106 min,"Action, Sci-Fi, Thriller",1 win & 3 nominations,28,5.4,"54,481",tt6654210,N/A,English
Peter Rabbit 2: The Runaway,2021,11 Jun 2021,93 min,"Adventure, Comedy, Crime",2 wins & 6 nominations,43,6.2,"12,595",tt8376234,"$40,501,717","English, German"
In the Heights,2021,11 Jun 2021,143 min,"Drama, Musical, Romance",10 wins & 52 nominations,84,7.3,"48,854",tt1321510,"$29,975,167","English, Spanish, Hebrew"
Wish Dragon,2021,11 Jun 2021,98 min,"Animation, Adventure, Comedy",4 nominations,59,7.2,"29,009",tt5562070,N/A,English
The Misfits,1961,01 Feb 1961,125 min,"Drama, Romance, Western",1 win & 1 nomination,77,7.2,"21,592",tt0055184,N/A,English
12 Mighty Orphans,2021,18 Jun 2021,118 min,"History, Sport",2 nominations,44,6.9,"6,291",tt8482584,"$3,689,637",English
The House Next Door: Meet the Blacks 2,2021,11 Jun 2021,97 min,"Action, Comedy, Horror",N/A,N/A,3.9,"1,888",tt7524444,"$2,893,660",English
Queen Bees,2021,11 Jun 2021,100 min,"Comedy, Drama, Romance",2 nominations,52,6.2,"2,379",tt8338076,"$1,926,706",English
DOMINO: Battle of the Bones,2021,11 Jun 2021,110 min,Comedy,N/A,N/A,3.9,305,tt10160896,"$50,124",English
Hitman's Wife's Bodyguard,2021,16 Jun 2021,100 min,"Action, Comedy, Crime",3 nominations,32,6.1,"97,805",tt8385148,"$38,014,727","English, Spanish, Japanese, Russian"
Luca,2021,18 Jun 2021,95 min,"Animation, Adventure, Comedy",Nominated for 1 Oscar. 4 wins & 78 nominations total,71,7.4,"170,435",tt12801262,N/A,"English, Italian"
